Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
58 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   5  ,   1  ,   0  ,   1  ,   0  ,   1  , 
59 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   3  ,   3  ,   0  ,   2  ,   0  ,   0  , 
60 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   2  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  , 
61 ,   1  ,   0  ,   1  ,   0  ,   0  ,   0  ,   1  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  , 
62 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   0  ,   0  ,   0  ,   0  ,   0  , 
63 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   17  ,   1  ,   2  ,   0  ,   3  ,   1  ,   0  , 
64 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   6  ,   3  ,   1  ,   0  ,   1  ,   0  ,   0  , 
65 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   0  ,   0  ,   0  ,   1  ,   0  ,   1  , 
66 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   3  ,   0  ,   2  ,   0  ,   2  ,   0  ,   0  , 
67 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  , 
68 ,   3  ,   1  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   5  ,   1  ,   3  ,   0  ,   1  ,   1  ,   0  , 
69 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   5  ,   4  ,   2  ,   2  ,   0  ,   0  , 
